Dataset,c1r1,c1r2,c1r3,c1r4,c1r5,c1r6,c1r7,c1r8,c2r1,c2r2,c2r3,c2r4,c2r5,c2r6,c2r7,c2r8,c3r1,c3r2,c3r3,c3r4,c3r5,c3r6,c3r7,c3r8,c4r1,c4r2,c4r3,c4r4,c4r5,c4r6,c4r7,c4r8,c5r1,c5r2,c5r3,c5r4,c5r5,c5r6,c5r7,c5r8,c6r1,c6r2,c6r3,c6r4,c6r5,c6r6,c6r7,c6r8,c7r1,c7r2,c7r3,c7r4,c7r5,c7r6,c7r7,c7r8,c8r1,c8r2,c8r3,c8r4,c8r5,c8r6,c8r7,c8r8
35,0.54344744,0.66354455,0.996492476,0.905883706,0.391695143,0.999292193,0.611379675,0.950795813,0.879887753,0.776693584,0.693175173,0.62185169,0.410115607,0.927723492,0.800169891,0.612040514,0.696501303,0.70428048,0.913300921,0.412089887,0.850910073,0.692058401,0.735622431,0.848943525,0.698317625,0.459090828,0.517101133,0.573244804,0.787860547,0.585278846,0.394457081,0.431833248,0.557691634,0.403994323,0.300373328,0.730133241,0.390715236,0.368932962,0.311071053,0.791293154,0.374007382,0.140561819,0.318982758,0.399189554,0.659724902,0.229618599,0.427656364,0.256377145,0.578650636,0.08721523,0.303526539,0.006314234,0.075892011,0.489191457,0.181747095,0.393934032,0.271868891,0.442639095,0.264499197,0.12199963,0.329362373,0.161383184,0.103259838,0.423625024
36,0.877752043,1,0.801901879,0.49516548,0.846218792,0.948575274,1,0.705407205,0.915985424,0.98310113,0.629976719,0.524769169,0.901853583,0.949558951,0.961115357,0.968768441,0.872992368,0.644730053,0.781458172,0.58275014,0.351398963,0.848630233,0.970473007,0.707129684,0.38497221,0.608352489,0.673222504,0.933575721,0.708639292,0.679264937,0.793425449,0.395418848,0.725672235,0.383796008,0.399908937,0.532185847,0.73731103,0.773019683,0.380968652,0.115791676,0.565001361,0.233305132,0.323288273,0.394424425,0.463442437,0.372831627,0.371562802,0.13186136,0.280164961,0.099967352,0.338985358,0.332742511,0.199103046,0.549058582,0.375257043,0.202290444,0.471856427,0.413961187,0.578572939,0.480015872,0.132324419,0.294946896,0.15453656,0.436613612
37,1,0.880351188,0.696609091,0.613952982,1,0.677743504,1,0.450900881,0.794134713,0.66758559,0.840516747,0.544115384,0.783307438,0.865760472,0.594620305,0.139804987,0.622487496,0.749962605,0.93965085,0.738014702,0.54097135,0.42087637,0.726158118,0.659465978,0.704848621,0.840637762,0.515439184,0.602612722,0.614412432,0.252119849,0.516186041,0.63674321,0.29265689,0.46591872,0.625275582,0.215728566,0.47044367,0.644511967,0.577042789,0.796475857,0.391226224,0.212507502,0.085945654,0.258933664,0.173784545,0.011587104,0.96865989,0.423925879,0.210941716,0.189164783,0.270516923,0.407404766,0.361760315,0.271636782,0.15003362,0.457447355,0.427978352,0.131369505,0.13754161,0,0.261123622,0.419319034,0.02083064,0.5356351
38,0.883462353,0.589383558,0.910671862,0.820942853,0.482655144,0.43462774,0.695065652,1,0.785373261,0.69088334,0.785335779,0.937581283,0.421295613,0.845446106,0.615558283,0.683555033,0.524069323,0.701406685,0.803156612,0.633281393,0.696713492,0.676483208,0.774764306,0.334009474,0.741857613,0.551892556,0.323518326,0.968676522,0.769116398,0.80774016,0.355500879,0.283320383,0.520769677,0.358015815,0.115314409,0.62218066,0.346649179,0.61003226,0.508593007,0.427283881,0.278461351,0.444778587,0.039373931,0.388877242,0.159636962,0.256357877,0.118766587,0.605543849,0.500178588,0.313011544,0.215102694,0.200209299,0.211582352,0.355144202,0.086267014,0.186498709,0,0.271552965,0.553304633,0.410152043,0.590937378,0.591133695,0.314620239,0.291741545
39,0.806992169,0.741687842,0.471036955,0.609087796,0.764589355,1,0.808544821,0.705382445,0.494755597,0.95332831,0.600053934,0.861863113,0.729810615,0.540813103,0.265451552,0.765828819,0.476701646,0.38371033,0.778744981,0.651351707,0.42352685,0.703274503,0.917831027,0.662632298,0.901463373,0.574952192,0.589142244,0.436291432,0.176585087,0.583618107,0.774273807,0.868139102,0.391724453,0.162708812,0.509100653,0.451214614,0.402468576,0.455063843,0.456765713,0.331835182,0.28490668,0.092579069,0.140915627,0.081338874,0.034355193,0.647631497,0.197587897,0.170182892,0.659124209,0.06307872,0.112774137,0.464174747,0.598675999,0.457679857,0.207694261,0.122379019,0.16978096,0.246367928,0.01415942,0.592897303,0.366566011,0,0.298907074,0.185483388
40,0.820418455,0.941336082,0.6960318,0.901313445,0.796716087,0.993739665,0.716091706,0.86092997,0.81344085,0.228899205,0.598311308,0.526969338,0.888189428,0.665977995,0.742878227,0.750992328,0.861242306,0.540502965,0.873216185,0.89087898,0.874795041,0.453652916,0.41065534,0.937405748,0.603682071,0.682861424,0.444887426,0.673596906,0.628256346,0.629346527,0.347620373,0.873061916,0.49182357,0.150027543,0.525511239,0.027559489,0.178671845,0.644617785,0.238012816,0.644458851,0.226806528,0.573822282,0.050667207,0.555016697,0.232393921,0.127282632,0.614499557,0.067096469,0.20064625,0.236014606,0.293359782,0.142910933,0.054843687,0.275424117,0.412592644,0.349264546,0.292505626,0.153258524,0.200525993,0.240855431,0.432351838,0.207411866,0.342548215,0.306901732
41,0.711223847,0.567642517,0.990144137,0.756209745,0.877514001,0.991751711,0.683680293,0.717614692,0.63148968,0.862832109,0.804728433,0.446498811,0.592226588,0.81260097,0.848239263,0.238434388,0.737756241,0.709476896,0.611982864,0.32868869,0.91632179,0.732997042,0.974928205,0.711585686,0.654543351,0.758386598,0.327033984,0.633134481,0.415214215,0.445331027,0.543407331,0.528657912,0.228091859,0.453771981,0.535468411,0.177260027,0.299736959,0.510951239,0.466068949,0.280976994,0.447518979,0.206600531,0.365379195,0.131423074,0.596401916,0.362960094,0.050247863,0.326409674,0.340699814,0.167115038,0.553070352,0.105410385,0.324412909,0.374781191,0.022108227,0.442484618,0.159383733,0,0.304290057,0.249387209,0.153800127,0,0.233865751,0
42,0.470475644,1,0.652239323,0.478704079,0.706269088,0.683520474,1,0.820059366,0.418196095,0.932725824,0.929788245,0.801101682,0.801926354,0.871245842,0.328555683,0.468283406,0.729148754,0.533367102,0.698459944,0.319663078,0.714229791,0.710745076,0.264605081,0.528506248,0.486678773,0.989528853,0.835718061,0.766506231,0.461001447,0.582854385,0.464505152,0.596591263,0.696089668,0.197289603,0.62273008,0.253583941,0.270009674,0.230016876,0.21059716,0.339491281,0.601746983,0.248481667,0.31887768,0.248070578,0.643538833,0.339264129,0.422958527,0.415105792,0.364765864,0.155583118,0.311680961,0.145296781,0.516318296,0.317465878,0.479514177,0.741806736,0.228325905,0.469832051,0.0062031,0.321432275,0.28453672,0.443979499,0.171709072,0.440167905
43,1,0.720313418,0.681217882,1,0.991016858,1,0.92767635,0.822395158,0.906212023,0.90845917,0.531779618,0.880762671,0.831419594,0.802856041,0.874765254,0.450624054,0.843875267,0.86497634,0.571052938,0.925948319,0.767058272,0.843611862,0.952358731,0.478839428,0.811135239,0.508316753,0.451567196,0.316423101,0.637320644,0.328930351,0.840233363,0.742480243,0.410374919,0.77760897,0.481991564,0.601622339,0.521795006,0.345998305,0.763176586,0.98926168,0.401121158,0.098582957,0.400880305,0.253184526,0.56078376,0.028731458,0.500320879,0.247092568,0.10388621,0.06240607,0.01424577,0.143584658,0.445619877,0.339820914,0.167062564,0.3873639,0.152570276,0.312796652,0,0.438010337,0.158121117,0.070987542,0.079362743,0.23034428
44,0.680200112,0.638288464,0.88295668,1,0.603504647,0.546983082,0.880363303,0.791227554,0.626098792,0.459613674,0.798400904,0.271440436,0.80346265,0.744132138,0.858950023,0.484370266,0.761023663,0.769196056,0.709869667,0.521247283,0.473652644,0.504898003,0.653648933,0.528248494,0.515536732,0.436140575,0.408797557,0.182574072,0.600427377,0.416245521,0.238008038,0.760917392,0.477167661,0.495451745,0.427680941,0.580312451,0.20471076,0.268727615,0.360081163,0.367611514,0.281430153,0.215608272,0.607659894,0.757452326,0.151116043,0.289650592,0.139491215,0.288639123,0.207112684,0.694660641,0.403911544,0.0561878,0.677385371,0.571182168,0.899817537,0.415032854,0.343800827,0.37974852,0.238349718,0.029350711,0.343571032,0,0.550017102,0.266171193
45,0.579403324,1,0.471973382,0.74914837,0.882500055,0.762715586,0.349871066,0.59985857,0.769480628,0.890802307,0.53595613,0.623222506,0.727005011,0.626223762,0.427002902,0.950293099,0.845819019,0.919602795,0.655782572,0.554830124,0.501356517,0.487848633,0.961961669,0.561110978,0.86465339,0.419676,0.328265352,0.704994582,0.827436478,0.376970766,0.585448707,0.703982692,0.620930332,0.185762643,0.651041561,0.831681361,0.46323661,0.839556742,0.682011528,0.457332372,0.189967105,0.457764726,0.205044041,0.29013229,0.432554616,0.432741511,0.505659796,0.45811837,0.086317958,0.262062609,0.314830159,0.256307862,0.013434445,0.043378778,0.184353686,0.367580331,0,0.615264361,0,0.269701215,0.129779788,0.635866556,0.080211135,0
46,0.467846867,1,0.806694613,0.712454723,0.857340812,0.657328341,0.508588393,0.856171773,0.768544984,0.886075226,0.642981438,0.759170947,0.389543534,0.824343189,0.665716916,0.567156288,0.364915049,0.855071707,0.756446644,0.1573439,0.80749902,0.791406052,0.976392288,0.362128802,0.354991707,0.673907056,0.855553621,0.316438646,0.325394329,0.57161361,0.685422279,0.922583641,0.549120262,0.735998,0.418220816,0.561036228,0.346612945,0.43058085,0.645917931,0.096710505,0.356526797,0.147101281,0.39618125,0.439708605,0.329316367,0.331102898,0.36045085,0.285457241,0.364934825,0.26457118,0.224187891,0.346195207,0.120409479,0.467910673,0.206829008,0.287124039,0.44848896,0.067323218,0.100428333,0.285390458,0,0.318930213,0.322960192,0
47,0.797286147,0.747203644,0.68121592,0.669982326,0.834493292,0.938209022,1,0.664803195,0.958626201,0.592369146,0.714644083,0.905964263,0.751256296,0.642678173,0.491441215,0.385589983,0.618649626,0.914609878,0.508909412,0.287928916,0.755660105,0.699952882,0.492156746,0.430693165,0.41893393,0.933231064,0.650650576,0.210751116,0.904339805,0.636995765,0.532705291,0.706689791,0.370819476,0.035365702,0.360557736,0.655691368,0.420631107,0.32241326,0.579551684,0.539107503,0.053212487,0.523411727,0.145017464,0.342485664,0.261029153,0.293845986,0.050121667,0.314089461,0.095053788,0.050847559,0.02150381,0.168300472,0.551923069,0.27828461,0.064094077,0.372872644,0.474174825,0.230795978,0,0,0.231675782,0,0,0.444830531
48,0.421831126,0.570121911,1,0.79809064,0.730674781,0.979316417,0.808630476,0.862079149,0.765807723,0.587172913,0.741136188,0.884231149,0.544502726,0.527808525,0.831273788,0.642784903,0.259334073,0.693192168,0.726621476,0.730517623,0.902883103,0.446638712,0.631405276,0.738756757,0.676708074,0.288033262,0.298418501,0.314859039,0.576030957,0.459834682,0.715918675,0.623123112,0.055780282,0.417165074,0.611350417,0.568298847,0.83076203,0.438832214,0.340328554,0.331935387,0.203727378,0.746747302,0.10270809,0.064921001,0.488914886,0.079446474,0.530473233,0.573979766,0.101495731,0.060411028,0.867682975,0.068600284,0.164810221,0.585937116,0.36296006,0.10911499,0,0,0.123093694,0,0.109758138,0.230460847,0.182069491,0.228431639
49,1,0.130448728,0.581750882,0.619600952,1,0.985417747,0.880984004,0.707647583,0.628389879,0.519546957,0.919093087,0.659626748,0.969643284,0.580449024,0.69256957,0.46251126,0.808598528,0.529869531,0.588882672,0.568255108,0.433375779,0.742327745,0.583590244,0.578882369,0.267169197,0.249666069,0.557062935,0.595785963,0.264770512,0.452940296,0.470288109,0.529585506,0.840625748,0.225961801,0.440316264,0.318190453,0.699890822,0.545507005,0.410856821,0.204032501,0.317140406,0.216374143,0.748503866,0.140661678,0.307825535,0.312659367,0.257536807,0.168190592,0.550901682,0.168865332,0.402972614,0.235661608,0.453572569,0.047531536,0.177090648,0.217763186,0.222981258,0.661228673,0.167129446,0.402517624,0.680056971,0.265538532,0.468318716,0.39868449
50,0.608839176,0.819240699,0.837675446,0.92689763,0.510968469,0.907899209,0.900313004,0.783865318,0.724675675,0.776193501,0.642384518,0.621641276,0.510328084,0.581786332,0.812764012,0.689741454,0.56667487,0.552489145,0.728787989,0.556734422,0.400068699,0.433720898,0.387705027,0.77236144,0.680112444,0.613305838,0.731368175,0.70993784,0.690177752,0.465483091,0.831594197,0.108298993,0.139818138,0.435235012,0.384837526,0.612750201,0.824645401,0.338748548,0.29620541,0.447607684,0.593801659,0.253381201,0.454531332,0.043173335,0.359420905,0.525211154,0.049235436,0.345908824,0.430163176,0.204553421,0.03901643,0.504097617,0.235902158,0.00096231,0.480068899,0.030376695,0.412477761,0.230994104,0.367108862,0.370219775,0.341820215,0.356617092,0.174281947,0
51,0.850717993,0.482944889,0.768315445,0.535052934,0.817151522,0.590105177,1,0.507207611,0.254864797,0.620275936,0.713368005,0.953371591,0.664672137,0.741514747,0.56653798,0.500980884,0.877670376,0.837450607,0.639734613,0.899643451,0.763335306,0.705750511,0.612342407,0.325208628,0.67381246,0.679191458,0.934379427,0.496269859,0.943448512,0.917540967,0.314149364,0.54628197,0.608826244,0.312891431,0.7048433,0.473434205,0.517755048,0.409449417,0.569563435,0.424572518,0.298815066,0.223575735,0.214797332,0.334685989,0.397452524,0.537886398,0.151622976,0.189304456,0.234374256,0.41184114,0.489278102,0.267493079,0.590052857,0.33154596,0.541989501,0.096993929,0.794860621,0.522510628,0.211986701,0.010245125,0.062303376,0,0.04872425,0.320160071
52,0.710038299,0.649453703,1,0.834343721,0.808517303,0.88702921,1,0.794619529,0.956247684,0.483677794,0.645914902,0.626472205,0.699612459,0.915449433,0.917500709,0.611888918,0.515896628,0.801594999,0.543717681,0.406887853,0.569692284,0.067428933,0.589763952,0.816421461,0.108736736,0.160310618,0.3810226,0.509578707,0.178338161,0.999577447,0.057953645,0.922188236,0.913062526,0.407168412,0.203012168,0.236925487,0.286121018,0.372769914,0.279398435,0.109274571,0.36516079,0.400525367,0.064443516,0.009387754,0.28880461,0.015943727,0.210588285,0.795392706,0.21368732,0.103212231,0.222646242,0.088369939,0.106219244,0.246230183,0.493528792,0.442657831,0.001348897,0,0.337572664,0,0.096348673,0.093968066,0.524528149,0
53,0.587384842,0.951196758,0.694958118,0.361425056,0.42380876,0.579989565,0.803397436,0.733726599,0.838575926,0.745466565,0.405258643,0.61909008,0.454048927,0.559320803,0.810049774,0.961140049,0.7091988,0.810033813,0.557646416,0.438640952,0.859221091,0.678547654,0.309536452,0.259874375,0.149678959,0.758203805,0.323777429,0.511990412,0.828397901,0.522210197,0.68572252,0.649565859,0.432629894,0.729019232,0.29793398,0.605580664,0.276769217,0.337005483,0.250494455,0.218205981,0.107581051,0.263714318,0.040225076,0.081133582,0.20671659,0.379741458,0.392920973,0.271050373,0.453706342,0.170327131,0.228689105,0.276105966,0.104658466,0.357369439,0.306498117,0.277292027,0.945228279,0.018473182,0,0.418208424,0.295980287,0.114367225,0.036942523,0
54,0.886499322,1,0.77844737,0.623331004,0.506435787,0.899078125,0.430541329,1,0.946769415,0.691552437,0.644932323,0.19428005,0.914563157,0.540371156,0.156909473,0.798725583,0.502795737,0.826483381,0.88800622,0.631945406,0.743064672,0.597370594,0.345714792,0.802027923,0.752100001,0.744811558,0.370630373,0.484357903,0.465505717,0.60401471,0.67585509,0.616002729,0.57063448,0.526211776,0.493996096,0.475570538,0.302315855,0.484256415,0.820139381,0.249080403,0.196126473,0.353445326,0.355795286,0.496736122,0.341766113,0.265063813,0.202361847,0.045106317,0.285406987,0.537531617,0.681608433,0.26284157,0.093418098,0.370325129,0.401772407,0.326203275,0,0.492418401,0.108156962,0.413611096,0.416914852,0.412367972,0,0.404019205
55,0.965613901,0.164230224,0.760873848,0.912361944,0.666304063,0.604541567,1,1,0.948779989,0.85185862,0.901015762,0.900196082,0.542611111,0.732943327,0.904409754,0.442909438,0.73773688,0.513290028,0.601240725,0.331302651,0.631362652,0.834582508,0.645520642,0.62525729,0.593058662,0.689924742,0.766387196,0.223892378,0.571337902,0.575559503,0.931735054,0.67370919,0.304519761,0.280775424,0.040580257,0.39287041,0.165761965,0.261114687,0.344372779,0.325269124,0.549282927,0.007654459,0.574329486,0.183978514,0.318199965,0.728269346,0.705974105,0.261536513,0.003379023,0.228066335,0.467826398,0.130468038,0.035637993,0.352056811,0.216580311,0.07700117,0.105890869,0,0.118757325,0.334227167,0.458547947,0.454840452,0.080906873,0.074324359
56,0.790395942,0.773918409,0.713578647,0.87543715,0.246263591,0.838826482,0.803274407,0.93350751,0.775751453,0.713911322,0.284811111,0.876012628,0.951036276,0.945770896,0.108357218,0.591202171,0.77365748,0.808908271,0.543203285,0.703205717,0.437599884,0.276450778,0.73827856,0.671235365,0.506106202,0.331001336,0.551042383,0.619265862,0.689878135,0.339050882,0.613713361,0.855001432,0.48565538,0.41735816,0.347219177,0.669613669,0.531754064,0.614696016,0.117101181,0.656051242,0.439801673,0.157775839,0.40602941,0.363450822,0.166132378,0.188634369,0.592768956,0.228200188,0.432892353,0.472117994,0.418650217,0.479721425,0.19580735,0.543581275,0.354358624,0.291584014,0.319321778,0.360561672,0,0.132597325,0.678147865,0.251792417,0.00519353,0.272369021
57,0.403735133,0.951218819,1,1,0.468214115,0.57236063,0.72559064,0.993412512,0.787045939,0.924502313,0.795190103,0.53451579,0.805678225,0.53526993,0.631546696,0.789193989,0.604539995,0.725007877,0.221501689,0.158904128,0.735202169,0.759312547,0.430642606,0.631876724,0.925975873,0.366179867,0.600755389,0.528291621,0.474093588,0.594921297,0.890184876,0.628689247,0.445874154,0.239579437,0.368874253,0.315764133,0.9105083,0.19144866,0.244031159,0.456077226,0.617438002,0.319700407,0.464452295,0.232615528,0.262784514,0.583969588,0.146032589,0.174496655,0.159983548,0.356358586,0.271102523,0.468328479,0.334937244,0.129186638,0.070918435,0.584215491,0.305220303,0.584625697,0,0.223676247,0.471359376,0.04599273,0.009527938,0.433483371
58,0.55179908,1,0.656601389,0.848371747,0.666873911,0.98557147,0.921508134,0.832400629,0.493650639,0.925569855,0.587465957,0.923266958,0.480117376,0.656503235,0.594137203,0.736884805,0.863134744,0.712313277,0.3512851,0.760792648,0.50184063,0.522639619,0.875559929,0.671547888,0.677889111,0.323805137,0.573146,0.969884487,0.870644673,0.702453864,0.599970047,0.686101615,0.568062287,0.332958592,0.540188248,0.636846626,0.366677738,0.568343745,0.485562528,0.532467117,0.372808492,0.309856321,0.349872485,0.164433557,0.008298804,0.287195598,0.161590412,0.255164448,0.466757406,0.126782099,0.272990623,0.276856279,0.423037931,0.110595176,0.696969509,0.635144922,0.610386711,0.388580418,0.044689806,0.445845561,0,0.333165558,0.131791664,0
59,0.769238714,0.495626115,0.865718092,0.765751952,0.559262539,0.420992449,0.449316271,1,0.721683281,0.608224682,0.688345715,0.980801163,0.372762346,0.355553674,0.16799543,0.911147394,0.659690946,0.683332672,0.695956411,0.750523379,0.456423369,0.873806368,0.816803074,0.825886608,0.410854345,0.291844105,0.135074549,0.802897524,0.599675677,0.735388966,0.410992643,0.154892073,0.081779171,0.328685607,0.693440296,0.212999669,0.264349406,0.31175584,0.486649933,0.530037981,0.360357938,0.482862366,0.402755811,0.357931872,0.167376831,0.505481906,0.576768004,0.468254248,0.126526375,0.181639,0.438218838,0.407558132,0.288081795,0.566458957,0.517338464,0.553290833,0.236312642,0,0.229156459,0.223444595,0,0,0.278455233,0.390070685
60,0.935241004,0.754766491,1,0.748706897,0.092913118,0.979856278,0.89009444,0.731158548,0.464706111,0.852260012,0.395790948,0.844183214,0.516321613,0.545173512,0.521016103,0.686529366,0.734251989,0.969099684,0.665727993,0.555398297,0.654702142,0.829882298,0.863519218,0.47343901,0.264669878,0.451412034,0.758486826,0.776668057,0.644414832,0.929937765,0.439220612,0.653178686,0.636228718,0.256870051,0.548936186,0.876514473,0.755372439,0.134940289,0.445553289,0.595820443,0.25203044,0.408468077,0.154100126,0.350992852,0.300627373,0.057575381,0.109277101,0.34058831,0.329147388,0.425477851,0.160440168,0.197585095,0.397237407,0.254200234,0.038314609,0.147877793,0.27018998,0.085447372,0.049732282,0.473018628,0.495720132,0.055052877,0.80940969,0.304322994
61,0.678163107,0.627585854,0.534133016,1,0.715429266,0.876475711,0.557631526,0.49868734,0.891366449,0.798604395,0.933577868,0.642029698,0.694902703,0.918634081,0.739280565,0.958146851,0.72735516,0.655655505,0.796389538,0.649592856,0.937583222,0.512482562,0.864852861,0.746596171,0.654416743,0.173936586,0.280174318,0.407502457,0.85625468,0.273916738,0.183955093,0.531153727,0.250927586,0.790409531,0.440580509,0.854070561,0.640227037,0.179544415,0.176446014,0.483203966,0.138035257,0.832904807,0.084667511,0.349626886,0.258944725,0.388303742,0.41649475,0.106734147,0.052122118,0.077834589,0.156273794,0.329641482,0.471296305,0.452382191,0.0087547,0.118470411,0.325792021,0.252042337,0.158977187,0.407837489,0.16779717,0.146201761,0,0.361669712
62,1,0.684815638,0.857674934,0.629617017,0.822550985,0.566482659,1,0.961418214,0.641303395,0.971955752,0.910885972,0.450873178,0.905903826,0.829388887,0.917666111,0.875137012,0.499659796,0.582591083,0.671024163,0.913482557,0.467679657,0.681812168,0.542479298,0.950034743,0.72255148,0.815244918,0.57737147,0.710021106,0.552450271,0.666982516,0.760789571,0.578362122,0.172057962,0.558171601,0.385515481,0.209467033,0.433567809,0.421850854,0.53539321,0.188278206,0.47363657,0.019884863,0.309019289,0.589649637,0.10697234,0.2453891,0.623313223,0.25971082,0.346102311,0.353967389,0.264442775,0.113381969,0.406543408,0.06632145,0.231113915,0.447194731,0.16619948,0,0.360514188,0.064607213,0.352461794,0.546361464,0.391347101,0.44774656
63,0.816661672,0.920090831,0.905690725,0.606799831,1,0.727103416,0.962113232,0.569284529,0.828347657,0.621191767,0.921661116,0.706101493,0.353344429,0.702246839,0.625532488,0.965677661,0.56013845,0.91235508,0.428014737,0.44804742,0.745730813,0.354559702,0.368518036,0.75716531,0.573608656,0.557495029,0.298550347,0.664137783,0.77765472,0.357901465,0.396264399,0.45059807,0.203165764,0.347663633,0.501133005,0.158031111,0.279742701,0.525838327,0.289030589,0.264820242,0.357645414,0.1209995,0.197297574,0.376109628,0.582493231,0.09723668,0.69038867,0.468292909,0.545683939,0.386314428,0.126349792,0.36848448,0.482831223,0.383413345,0.030526965,0.317436809,0.342625396,0.333488458,0.30337118,0.741498958,0.126894611,0.157000397,0.297107818,0.255997809
64,0.652886237,0.89118894,0.697088912,0.983129947,0.597264493,0.737226994,0.91631147,0.848916534,0.861836658,0.691396894,0.429934695,0.531130711,0.510520888,0.717051813,0.91302382,0.531234126,0.464571275,0.604297407,0.601281884,0.382650456,0.64405628,0.90839569,0.410473432,0.707427468,0.496072876,0.52991341,0.522843174,0.622687277,0.241990714,0.84146943,0.153150441,0.181727122,0.668364748,0.158229763,0.45844197,0.32706847,0.561062077,0.066732707,0.607426751,0.502878999,0.075465429,0.41204211,0.335148973,0.621608819,0.248226639,0.432727267,0.673828543,0.210627755,0.347926201,0.131390994,0.098431225,0.015050402,0.288534652,0.278888378,0.08918677,0.397015441,0.184240186,0.088007341,0.017174705,0.706695966,0.357651977,0.280510768,0.017867615,0.334418765
65,0.829375217,0.965040076,0.893727794,1,0.841831315,0.414806976,0.92491856,0.63842344,0.919393298,0.728158258,0.813752526,0.857990062,0.660944608,0.880802858,0.621709183,0.559087302,0.904043175,0.837746002,0.642306659,0.683403808,0.697821948,0.829355153,0.575384591,0.857662389,0.812770613,0.497319427,0.553606766,0.802348057,0.917515667,0.272067405,0.447129461,0.941554272,0.195802637,0.652474426,0.691357979,0.729355162,0.476870153,0.878268151,0.016092537,0.448149522,0.368607109,0.237938874,0.186312973,0.443488415,0.201003001,0.449716807,0.605005116,0.560837833,0.20972335,0.406440703,0.478904358,0.368150618,0.414593601,0.477502075,0.37651375,0.206199968,0,0.150836187,0,0.431975912,0,0.66062639,0.06333626,0.201279303
66,1,0.401069667,0.282026836,0.783558158,0.715421719,0.710604309,0.53701912,0.421857748,0.891480338,0.757649515,0.788923712,0.658736156,0.982039592,0.884341558,0.533317207,0.792591419,0.789401143,0.776582705,0.771979893,0.571461926,0.881100773,0.66232325,0.537628499,0.502328148,0.339276048,0.377514406,0.904802625,0.481234506,0.796105859,0.636214314,0.756240869,0.470630776,0.599675872,0.772831296,0.465717857,0.465119193,0.327252067,0.220831546,0.373151352,0.271129244,0.583044235,0.247198725,0.331428251,0.509059092,0.622626726,0.480061197,0.358019762,0.160173528,0.350389872,0.161404076,0.665549927,0.307284018,0.036040595,0.04002807,0.053092933,0.152498451,0.072552561,0,0.050593843,0.214653652,0.604302808,0.239967572,0.511886053,0.017143376
67,0.644415101,0.755392234,0.279668648,0.812218801,1,0.774567622,0.924829266,0.466602525,0.659161404,0.926326159,0.70959951,0.930762477,0.619746641,0.910826677,0.586967993,0.523297255,0.737890358,0.76120863,0.271127666,0.810932941,0.849839602,0.622282511,0.75732367,0.922291621,0.591587196,0.581963533,0.709117416,0.792385424,0.495932319,0.691649106,0.394805971,0.512879091,0.143222169,0.635131202,0.304595561,0.453250615,0.455636707,0.390585101,0.537379351,0.777570796,0.196109799,0.637264292,0.198425469,0.393523519,0.517169207,0.38982587,0.073650309,0.407606724,0.380002538,0.176473838,0.475183477,0.527150726,0.104928505,0.506596071,0.22517861,0.577125298,0.092286788,0.361960011,0.160838639,0.00514821,0.350901082,0.532626103,0.130253712,0.23573947
68,0.915885997,0.755791531,0.964021803,0.410214866,0.927993472,0.578290756,0.633965054,1,0.934687122,0.926040699,0.497951101,0.832545365,0.713557177,0.692670092,0.72486309,0.525445786,0.712402641,0.42238096,0.588347694,0.649870526,0.644118016,0.716994319,0.887794023,0.821296933,0.090041576,0.731640677,0.572355946,0.564004744,0.474536544,0.669724854,0.292535479,0.606269339,0.197191829,0.340001583,0.179275046,0.169235541,0.736432207,0.333321962,0.755013274,0.578668936,0.237504066,0.120123048,0.181710497,0.502407309,0.394847297,0.100714799,0.135238793,0.132385172,0.079584025,0.26658286,0.143567269,0.369968289,0.298391295,0.319138461,0.176297661,0.449102147,0,0,0.503749677,0.227719931,0.564299076,0.306027012,0.107250444,0.370665147
69,0.840679462,0.620163041,0.725164812,0.615158681,1,0.745041645,0.922394187,0.785335354,0.806739819,0.829984343,0.867180241,0.870455294,0.829264688,0.93513684,0.761871033,0.871145401,0.739684519,0.932061599,0.760616373,0.578475268,0.525059711,0.706897816,0.905001431,0.739753155,0.443618237,0.659671836,0.62142285,0.698706618,0.762235776,0.524033454,0.433626637,0.79601715,0.135660346,0.285468865,0.616951779,0.234939852,0.840251337,0.729819149,0.254716321,0.745541128,0.240018158,0.39329601,0.402941535,0.307946853,0.371269268,0.293309609,0.431796976,0.587239322,0.466398276,0.086414158,0.14933797,0.379685578,0.15934723,0.040838834,0.118924107,0.222010055,0.140811959,0.088555344,0.33436042,0.385809153,0.065865541,0.286460662,0.033371384,0.002769023
70,1,0.57530355,0.763511824,1,0.809479164,0.955297464,0.546618283,0.631142544,0.655727041,0.992391274,0.564174293,0.775250294,0.843319748,0.742520617,0.990174039,0.753684876,0.577313566,0.52776847,0.682658646,0.998176235,0.58301432,0.520857814,0.861679826,0.476363377,0.586472233,0.752900869,0.328235165,0.504096868,0.746984163,0.859577666,0.717212087,0.344456047,0.598200177,0.770217878,0.555532464,0.382842592,0.339299619,0.577915212,0.856980463,0.584211737,0.321882375,0.159562367,0.307724397,0.255876284,0.480096991,0.305635712,0.256511887,0.32700581,0.338441223,0.069189449,0.562916402,0.385164621,0.768519255,0.465086276,0.183954915,0.336652012,0.183761888,0,0,0,0.389909151,0.497833692,0,0.095984164
